stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
Zydus Lifesciences Ltd.,15.06,8.38,14.42,13.8,14.51,15.06,8.38,14.42,13.8,14.51,19.94,13.05,18.82,17.99,18.01,134.78,129.3,124.46,109.96,83.68,134.78,129.3,124.46,109.96,83.68,6,2.5,3.5,3.5,3.5,86.28,77.95,75.98,61.99,58.96,29.67,20.48,23.42,22.19,21.38,24.84,15.8,19.01,18,17.88,20.08,11.37,16.49,15.21,17,15.11,8.38,14.42,13.8,14.51,34.39,26.26,30.82,35.8,36.25,28.79,20.27,25.02,29.04,30.32,23.27,14.58,21.7,24.54,28.84,17.51,10.74,18.97,22.25,24.6,11.21,6.47,11.58,12.54,17.33,14.14,11.8,14.27,14.07,16.85,7.43,4.83,7.99,8.53,10.86,0.35,0.2,0.31,0.26,0.39,0.46,0.44,0.44,38.34,44.16,2.57,1.7,1.25,1.39,1.52,1.93,1.22,0.88,0.99,0.99,1.46,1.42,1.48,4.55,4.1,0,41.78,0,50.71,24.11,0,26.82,0,38.9,19.43,0,58.22,0,49.29,75.89,0,73.18,0,61.1,80.57,"54,314.20","38,066.88","48,904.94","29,920.14","38,722.54",6.22,4.77,6.29,4.71,6.41,18.09,18.15,20.39,13.17,17.69,5.7,4.47,5.8,4.31,5.88,0,58.21,0,49.28,75.88,3.65,2.7,3.54,2.43,4.14,5.7,4.47,5.8,4.31,5.88,0.03,0.02,0.03,0.05,0.04
Zee Entertainment Enterprises Ltd.,1.71,13.94,11.67,7.83,17.23,1.71,13.94,11.67,7.83,17.23,3.7,15.08,13.18,9.68,18.89,101.1,102.47,91.03,79.46,74.29,101.1,102.47,91.03,79.46,74.29,0,3,2.5,0.3,3.5,77.26,78.16,69.36,75.97,71.44,13.32,21.49,20.06,18.9,30.26,11.32,20.34,18.54,17.05,28.6,3.67,18.6,16.67,12.64,27.04,1.71,13.93,11.66,7.83,17.24,17.23,27.49,28.91,24.87,42.35,14.65,26.02,26.72,22.43,40.03,4.75,23.79,24.04,16.63,37.84,2.2,17.82,16.81,10.3,24.13,1.68,13.59,12.81,9.85,23.2,10.82,19.56,20.01,20.23,34.32,1.29,11.1,9.93,7.02,15.22,0,0,0,0,0,0.6,0.64,59.07,68.19,63.09,4.03,4.86,4.04,3.4,2.81,1.34,1.96,1.96,1.6,1.68,0,0,1.35,1.56,2.11,0,17.93,2.56,44.71,16.82,0,16.56,2.27,36.17,15.35,0,82.07,97.44,55.29,83.18,0,83.44,97.73,63.83,84.65,"19,908.72","27,069.93","18,912.32","11,754.30","42,526.00",2.68,3.6,2.84,1.61,6.2,15.56,13.11,9.81,6.48,14.64,2.74,3.69,2.93,1.63,6.22,0,82.06,97.43,55.28,83.17,2.09,2.81,2.23,1.56,5.98,2.74,3.69,2.93,1.63,6.22,0.01,0.05,0.06,0.06,0.04
ZF Commercial Vehicle Control Systems India Ltd.,167.48,74.9,54.73,83.73,148.76,167.48,74.9,54.73,83.73,148.76,222.72,123.64,102.39,131.24,186.43,"1,270.12","1,114.57","1,052.53",998.83,938.43,"1,270.12","1,114.57","1,052.53",998.83,938.43,13,12,11,10,9,"1,816.04","1,340.89",982.46,"1,017.29","1,517.15",283.28,152.93,128.99,166.27,254.3,228.05,104.2,81.33,118.76,216.64,225.06,103.2,80.28,117.75,216.64,167.48,74.9,54.73,83.73,148.76,15.59,11.4,13.12,16.34,16.76,12.55,7.77,8.27,11.67,14.27,12.39,7.69,8.17,11.57,14.27,9.22,5.58,5.57,8.23,9.8,13.18,6.72,5.19,8.38,15.85,17.39,9.24,7.66,11.74,22.63,10.51,5.38,4.15,7.28,12.08,0,0,0,0,0,1.22,0.99,74.65,88.48,123.27,4.19,3.92,3.92,5.93,3.39,3.9,3.63,3.69,5.51,3.1,14.65,12.76,16.39,17.14,19.05,0,14.68,0,0,5.37,0,8.89,0,0,4.29,0,85.32,0,0,94.63,0,91.11,0,0,95.71,"18,518.53","13,768.66","12,038.64","11,175.53","12,091.97",5.38,5.41,6.46,5.79,4.2,34.46,47.47,49.21,35.44,25.07,5.72,5.68,6.71,6.03,4.39,0,85.31,0,0,94.62,8.17,6.83,6.26,6.14,7.1,5.72,5.68,6.71,6.03,4.39,0.02,0.01,0.01,0.01,0.02
Yes Bank Ltd.,0.27,0.43,-1.63,-56.07,7.45,0.27,0.43,-1.63,-56.06,7.38,0.21,0.58,-1.24,-12.81,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.43,-1.38,-13.08,7.43,,,,,,,,,,,,,,,,3.16,5.6,-17.27,-62.98,5.8,,,,,,,,,,,0.2,0.33,-1.26,-6.36,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,102.82,63.81,,,,,,,,,,,,,,,
Zensar Technologies Ltd.,13.62,14.2,12.85,10.26,11.46,13.55,14.08,12.73,10.12,11.27,16.95,18.1,16.8,13.86,13.36,101.66,92.1,81.37,69.82,65.31,101.66,92.1,81.37,69.82,65.31,5,5,3.6,2.8,2.8,80.5,72.08,60.36,60.79,60.84,21.94,24.26,21.47,18.14,17.12,18.6,20.35,17.51,14.53,15.22,17.81,19.04,16.54,13.49,14.81,13.62,14.19,12.84,10.25,11.46,27.25,33.66,35.57,29.83,28.13,23.11,28.23,29,23.89,25.01,22.12,26.41,27.4,22.19,24.34,16.91,19.69,21.26,16.86,18.83,13.39,15.41,15.77,14.68,17.54,17.21,20.44,19.48,18.33,22.98,11.13,12.53,12.6,11.11,14.75,0,0,0,0,0,0.68,0.67,59.28,65.93,78.33,5.2,5.52,5.68,5.15,5.34,5.2,5.52,5.68,5.15,5.34,0,0,0,0,0,0,27.46,9.34,51.64,24.54,0,21.53,7.13,38.19,21.05,0,72.54,90.66,48.36,75.46,0,78.47,92.87,61.81,78.95,"5,895.37","7,873.70","5,760.30","1,889.69","5,089.47",3.23,4.83,4.23,1.38,3.71,11.86,14.36,11.89,4.62,13.2,3.4,5.1,4.54,1.42,3.81,0,72.53,90.65,48.35,75.45,2.69,3.99,3.37,1.24,3.55,3.4,5.1,4.54,1.42,3.81,0.05,0.04,0.05,0.12,0.05
Wipro Ltd.,16.75,22.2,17.81,14.88,12.67,16.72,22.14,17.77,14.84,12.67,19.62,24.85,20.83,17.19,14.17,114.36,99.14,82.57,81.31,81.86,114.36,99.14,82.57,81.31,81.86,1,6,1,1,1,123.46,108.67,91.8,88.22,79.75,26.4,31.22,26.35,22.2,18.78,23.5,28.51,23.89,20.2,17.23,22.36,27.84,23.15,19.27,16.36,16.72,22.14,18.36,15.19,12.62,21.38,28.73,28.7,25.16,23.54,19.03,26.23,26.01,22.89,21.6,18.1,25.62,25.21,21.83,20.51,13.54,20.36,20,17.22,15.82,14.62,22.32,22.23,18.68,15.41,19.4,27.32,27.49,23.62,20.44,10.75,15.09,15.3,13.29,11.36,0.08,0.14,0.13,0.11,0.1,0.82,0.82,0.77,77.18,71.82,2.86,2.23,2.5,2.78,2.96,2.86,2.23,2.5,2.77,2.94,0,0,0,289.53,141.42,0,27.1,5.44,7.93,7.16,0,24.14,4.8,7.01,6.38,0,72.9,94.56,92.07,92.84,0,75.86,95.2,92.99,93.62,"2,01,130.34","3,27,315.40","2,22,962.28","1,06,910.41","1,48,400.15",2.97,5.49,4.43,2.12,3.08,13.88,19.12,15.44,8.43,13.1,2.96,5.45,4.51,2.23,3.19,0,72.89,94.55,92.06,92.83,3.19,5.97,5.02,2.42,3.11,2.96,5.45,4.51,2.23,3.19,0.05,0.04,0.04,0.08,0.05
Voltas Ltd.,42.47,17.63,17.24,17.22,14.04,42.47,17.63,17.24,17.22,14.04,43.58,18.64,18.14,18.85,14.64,204.75,168.34,150.69,127.52,113.15,204.75,168.34,150.69,127.52,113.15,4.25,5.5,5,4,4,232.01,214.59,192.8,217.83,202.33,18.19,24.51,23.65,27.34,19.58,17.09,23.51,22.75,26.47,18.99,46.2,23.07,22.17,24.55,19.07,42.48,17.64,17.24,17.99,14.04,7.84,11.42,12.26,12.55,9.67,7.36,10.95,11.79,12.15,9.38,19.91,10.75,11.49,11.26,9.42,18.31,8.21,8.94,8.25,6.93,20.74,10.47,11.44,14.1,12.4,8.18,13.65,14.78,20.23,16.45,13.99,6.33,7.14,7.79,6.81,0.04,0.02,0.02,0.02,0.03,0.8,0.83,0.82,94.36,98.13,1.44,1.42,1.47,1.48,1.63,0.95,0.95,1.03,1.04,1.3,2.25,2.39,1.91,4.93,6.67,12.95,28.35,23.2,22.24,28.49,12.62,26.83,22.05,21.22,27.33,87.05,71.65,76.8,77.76,71.51,87.38,73.17,77.95,78.78,72.67,"26,963.51","40,830.21","32,918.69","15,727.37","20,732.06",3.51,5.75,5.16,2.18,3.1,44.81,50.36,42.08,17.39,32,3.53,5.8,5.2,2.2,3.12,87.04,71.64,76.79,77.75,71.5,4,7.39,6.65,3.76,5.57,3.53,5.8,5.2,2.2,3.12,0.05,0.01,0.02,0.04,0.02
Vodafone Idea Ltd.,-8.43,-9.82,-16.11,-26.97,-20.33,-8.43,-9.82,-16.11,-26.97,-20.33,-1.43,-1.67,-8.14,-17.14,0.41,-15.17,-19.13,-13.12,3.13,72.7,-15.17,-19.13,-13.12,3.13,72.7,0,0,0,0,0,8.61,11.9,14.5,15.56,42.19,3.4,4.84,5.81,5.46,5.67,-1.19,-2.28,-2.16,-2.85,-10.83,-6.02,-8.79,-16.12,-21.68,-20.25,-6.02,-8.79,-16.11,-25.45,-16.09,39.47,40.63,40.04,35.11,13.43,-13.87,-19.16,-14.92,-18.3,-25.65,-69.91,-73.87,-111.13,-139.29,-47.99,-69.91,-73.87,-111.08,-163.55,-38.13,0,0,0,-812.45,-22.13,-3.94,-5.5,-4.53,-6.11,-5.27,-14.13,-14.56,-22.79,-31.95,-6.03,-2.73,-3.11,-4.18,10.71,1.71,0.21,0.19,20.51,19.53,15.81,0.3,0.35,0.29,0.23,0.36,0.3,0.35,0.29,0.23,0.36,15.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,29,380.49","2,18,786.70","1,82,054.95","1,02,837.51","1,23,594.31",5.47,5.72,4.37,2.3,3.35,13.86,14.09,10.91,6.55,24.96,0.68,0.81,0.64,0.2,0.43,0,0,0,0,0,-0.38,-0.51,-0.7,0.99,0.25,0.68,0.81,0.64,0.2,0.43,-1.03,-0.91,-1.74,-8.18,-0.89
Westlife Foodworld Ltd.,-0.05,-0.03,-0.03,-0.02,0,-0.05,-0.03,-0.03,-0.02,0,-0.05,-0.03,-0.03,-0.02,0,31.14,31.32,31.2,31.03,30.94,31.14,31.32,31.2,31.03,30.94,0,0,0,0,0,0.04,0.03,0.03,0.03,0,-0.04,-0.03,-0.03,-0.02,0,-0.04,-0.03,-0.03,-0.02,0,-0.05,-0.03,-0.03,-0.02,0,-0.05,-0.03,-0.03,-0.02,0,-91.22,-94.2,-92.32,-61.61,0,-91.22,-94.43,-92.79,-62.02,0,-117.36,-94.43,-92.79,-62.02,0,-117.36,-94.43,-92.79,-62.02,0,-0.15,-0.08,-0.08,-0.06,0,-0.11,-0.08,-0.08,-0.06,0,-0.15,-0.08,-0.08,-0.06,0,0,0,0,0,0,0,0,0,0,0,230.96,"6,263.36","9,723.40","9,663.00",226.23,230.96,"6,263.36","9,723.40","9,663.00",226.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,665.10","7,457.84","7,153.20","4,984.32","6,670.59","16,931.42","16,609.89","16,635.36","10,069.34",0,"-18,560.91","-17,630.83","-18,018.15","-16,342.04","-10,48,817.93","16,928.47","16,612.28","16,638.52","10,069.80",0,0,0,0,0,0,21.96,15.27,14.72,10.32,13.86,"17,009.95","16,725.52","16,759.12","10,132.91",0,0,0,0,0,0
Whirlpool of India. Ltd.,14.57,17.56,26.27,37.54,32.08,14.57,17.56,26.27,37.54,32.08,27.29,28.31,37.47,47.73,40.86,244.87,234.82,222.52,200.75,168.89,244.87,234.82,222.52,200.75,168.89,5,5,5,5,5,489.5,472.4,465.03,472.34,425.45,33.14,36,47.97,63.22,58.87,20.43,25.26,36.77,53.03,50.1,19.44,23.93,35.56,51.46,49.38,14.57,17.57,26.27,37.54,32.08,6.77,7.62,10.31,13.38,13.83,4.17,5.34,7.9,11.22,11.77,3.97,5.06,7.64,10.89,11.6,2.97,3.71,5.64,7.94,7.54,5.95,7.48,11.8,18.7,18.99,7.57,9.62,14.94,24.23,27.14,3.51,4.43,6.64,10.96,10.97,0,0,0,0,0,1.21,1.19,117.68,137.95,145.52,1.96,1.98,2.09,2.09,1.8,1.18,1.26,1.41,1.33,1.15,2.83,2.64,4.63,5,6.07,0,28.46,19.03,13.31,12.47,0,17.66,13.34,10.47,9.79,0,71.54,80.97,86.69,87.53,0,82.34,86.66,89.53,90.21,"15,139.42","18,422.07","26,226.93","21,649.01","18,250.52",2.44,3.07,4.45,3.61,3.38,36,40.34,43.1,26.99,24.44,2.68,3.33,4.8,3.83,3.58,0,71.53,80.96,86.68,87.52,5.36,6.7,10.02,9,9.01,2.68,3.33,4.8,3.83,3.58,0.01,0.01,0.01,0.02,0.02
Welspun India Ltd.,1.54,3.95,5.24,4.73,1.41,1.54,3.95,5.24,4.73,1.41,4.07,6.76,8.53,8.59,5.41,35.81,35.17,33.23,27.94,24.78,35.81,35.17,33.23,27.94,24.78,0.1,0.15,0.15,1,0.3,57.23,67.84,59.28,52.99,53.7,5.44,9.89,11.6,10.47,8.74,2.91,7.09,8.32,6.61,4.74,2.29,6.27,7.31,6.1,1.75,1.54,3.97,5.24,4.73,1.41,9.51,14.57,19.56,19.76,16.27,5.08,10.45,14.02,12.47,8.82,4,9.23,12.32,11.5,3.25,2.68,5.84,8.84,8.92,2.62,4.28,11.28,15.77,16.91,5.69,6.77,16.57,20.15,16.59,11.5,2.54,6.33,8.63,7.63,2.26,0.26,0.38,0.39,0.71,0.9,0.93,1.09,97.68,85.57,86.13,1.45,1.33,1.26,1.15,1.15,0.73,0.78,0.71,0.67,0.73,2.84,3.28,5.56,5.04,6.05,0,3.84,0,27.5,46.06,0,2.25,0,15.13,12.02,0,96.16,0,72.5,53.94,0,97.75,0,84.87,87.98,"7,162.26","10,204.45","9,220.12","4,113.59","8,160.28",1.27,1.52,1.55,0.77,1.51,13.32,10.45,7.91,3.91,9.3,1.11,1.34,1.37,0.41,1.11,0,96.15,0,72.49,53.93,1.78,2.58,2.44,0.78,2.41,1.11,1.34,1.37,0.41,1.11,0.02,0.04,0.06,0.22,0.02
Vijaya Diagnostic Centre Ltd.,8.16,10.6,182.75,135.13,108.01,8.12,10.54,182.75,135.13,108.01,14.17,15.72,292.48,240.31,164.75,53.4,46.09,795.58,612.33,476.9,53.4,46.09,795.58,612.33,476.9,1,1,0,0,0,44.05,44.22,810.51,725.21,616.23,18.96,20.87,384.23,318.27,226.93,12.95,15.75,274.5,213.09,170.2,10.9,14.16,241.81,180.39,155.47,8.15,10.6,182.75,135.13,108.01,43.04,47.19,47.4,43.88,36.82,29.39,35.62,33.86,29.38,27.61,24.75,32.02,29.83,24.87,25.22,18.51,23.97,22.54,18.63,17.52,15.26,23,22.97,22.06,22.64,16.82,24.8,25.16,22.82,30.69,9.79,15.2,15.54,12.88,16.73,0,0,0,0.07,0.13,0.58,0.73,0.73,0.86,1.08,4.17,4.17,6.07,3.51,3.43,4.14,4.11,6.01,3.46,3.38,19.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,881.59","4,277.51",0,0,0,8.63,9.49,0,0,0,20.06,20.1,0,0,0,8.88,9.9,0,0,0,0,0,0,0,0,7.33,9.5,0,0,0,8.88,9.9,0,0,0,0.02,0.02,0,0,0
Welspun Corp Ltd.,20.23,18.61,39.02,10.18,-10.45,20.17,18.57,38.92,10.15,-10.45,24.38,23.03,43.23,15.01,-6.19,132.77,117.05,103.72,59.81,61.72,132.77,117.05,103.72,59.81,61.72,5,5,5,10.5,0.5,264.46,202.64,202.59,163.04,155.96,36.9,30.16,56.65,26.33,2.16,32.73,25.74,52.45,21.6,-2.1,27.03,22.8,50.23,17.33,-6.55,20.21,18.61,39.02,10.28,-10.45,13.95,14.88,27.96,16.14,1.38,12.37,12.7,25.88,13.24,-1.34,10.21,11.24,24.79,10.63,-4.19,7.64,9.18,19.26,6.3,-6.7,15.22,15.9,37.62,17.18,-16.93,22.4,16.79,37,23.81,-2.28,7.64,7.55,19.68,5.5,-6.3,0.43,0.31,0.2,0.49,0.43,1.04,0.91,1.05,87.34,94.06,1.27,1.59,2.33,1.53,1.64,0.77,1.26,1.96,0.98,1.49,4.7,5.86,2.96,3.07,13.75,0,26.86,1.28,102.23,-4.78,0,21.7,1.15,70.01,-8.07,0,73.14,98.72,-2.23,104.78,0,78.3,98.85,29.99,108.07,"6,247.37","5,305.75","4,039.70","2,225.33","4,138.32",0.9,1,0.76,0.52,1,6.47,6.74,2.73,3.24,72.27,0.76,0.83,0.69,0.38,0.87,0,73.13,98.71,-2.23,104.78,1.51,1.43,1.34,1.04,2.2,0.76,0.83,0.69,0.38,0.87,0.1,0.11,0.28,0.16,-0.08
Vinati Organics Ltd.,44.56,33.73,26.2,32.48,54.97,44.56,33.73,26.2,32.48,54.97,49.61,38.15,30.38,35.71,60.3,215.87,177.87,150.16,124.48,204.56,215.87,177.87,150.16,124.48,204.56,7,6.5,6,5.5,7,202.83,157.18,92.84,100.1,219.48,64.98,48.17,36.81,44.65,88.26,59.92,43.74,32.64,41.42,82.93,59.86,43.71,32.62,41.32,82.75,44.56,33.73,26.2,32.48,54.97,32.03,30.64,39.65,44.6,40.21,29.54,27.82,35.15,41.38,37.78,29.51,27.81,35.13,41.27,37.7,21.96,21.45,28.22,32.44,25.04,20.64,18.96,17.45,26.09,26.87,26.46,23.38,20.61,31.44,37.42,17.98,16.58,15.53,23.13,23.01,0,0.01,0,0,0,0.9,0.85,55.04,71.3,91.88,4.51,4.64,6.17,7.22,5.98,3.64,3.59,5.02,6.17,4.94,5.93,5.74,7.83,11.04,12.21,0,17.78,1.9,26.17,8.18,0,15.72,1.64,23.8,7.46,0,82.22,98.1,73.83,91.82,0,84.28,98.36,76.2,92.54,"18,578.50","20,078.19","14,384.15","7,854.69","8,448.05",8.91,12.43,15.07,7.63,7.49,27.82,40.56,38.01,17.12,18.63,8.92,12.42,15.08,7.69,7.49,0,82.21,98.09,73.82,91.81,8.38,10.98,9.32,6.18,8.04,8.92,12.42,15.08,7.69,7.49,0.02,0.02,0.02,0.04,0.03
Vedanta Ltd.,73.54,46.36,28.23,-18.1,13.65,73.54,46.36,28.23,-18.1,13.08,84.52,54.27,35.01,-9.32,22.36,182.29,208.73,206.42,187.89,209.35,182.29,208.73,206.42,187.89,209.35,101.5,45,9.5,3.9,18.85,183.01,170.1,100.65,96.39,103.88,83.68,69.96,52.71,23.38,31.24,73.84,62.04,45.94,14.6,22.53,73.75,52.73,36.73,-28.13,13.3,74.68,46.36,28.23,-18.1,13.64,45.72,41.12,52.37,24.25,30.07,40.34,36.47,45.64,15.15,21.68,40.29,31,36.49,-29.17,12.8,40.8,27.25,28.05,-18.77,13.13,40.96,22.2,13.67,-9.63,6.51,26.35,21.9,16.83,5.68,8.2,17.49,11.57,7.62,-4.82,3.36,0.62,0.47,0.37,0.57,0.48,0.44,0.44,27.18,25.71,25.61,0.61,0.68,0.57,0.43,0.46,0.46,0.49,0.42,0.3,0.31,3.24,3.36,6.74,6.3,5.05,0,96.77,33.5,-25.19,138.02,0,82.65,27.02,-48.9,84.21,0,3.23,66.5,125.19,-38.02,0,17.35,72.98,148.9,15.79,"1,38,746.40","1,79,631.40","1,08,803.80","61,471.00","1,02,165.00",2.04,2.84,2.91,1.71,2.64,4.46,6.9,5.55,7.07,8.79,1.5,2.37,2.27,0.67,1.77,0,3.22,66.49,125.19,-38.02,1.51,1.93,1.11,0.34,0.88,1.5,2.37,2.27,0.67,1.77,0.27,0.11,0.12,-0.28,0.07
VIP Industries Ltd.,11.37,4.51,-5.98,6.28,9.11,11.33,4.48,-5.98,6.28,9.11,15.46,8.61,-1.24,11.59,10.02,42.86,35.72,33.16,38.71,38.68,42.86,35.72,33.16,38.71,38.68,2,5,0,3.2,3.2,142.57,88.88,43.4,121.3,126.29,18.35,11.63,-1.24,18.85,14.92,14.25,7.52,-5.98,13.54,14.02,13.65,5.93,-7.99,8.57,13.91,11.36,4.51,-5.98,6.28,9.12,12.87,13.08,-2.85,15.53,11.81,9.99,8.45,-13.78,11.15,11.1,9.57,6.66,-18.4,7.06,11.01,7.96,5.06,-13.78,5.17,7.21,26.5,12.61,-18.04,16.22,23.56,27.2,16.49,-13.41,26.27,35.3,12.91,6.17,-8.38,7.7,12.52,0.22,0.15,0.32,0.06,0.16,1.77,1.23,0.57,148.78,173.45,1.74,1.83,1.71,1.77,1.84,0.78,0.88,1.13,0.87,0.8,0.89,0.93,0.33,4.51,3.69,0,55.49,0,82.84,35.1,0,29.02,0,44.87,31.94,0,44.51,0,17.16,64.9,0,70.98,0,55.13,68.06,"8,227.59","10,593.27","5,071.90","3,417.41","6,945.52",4.07,8.43,8.27,1.99,3.89,31.65,64.42,-289.49,12.83,32.94,4.02,8.37,8.16,1.98,3.85,0,44.5,0,17.15,64.89,13.37,20.84,10.68,6.2,12.57,4.02,8.37,8.16,1.98,3.85,0.02,0.01,-0.02,0.03,0.02
